CustomerID,Gender,Age,Tenure,Contract,MonthlyCharges,Churn
1,Male,51,39,Two Year,88,0
2,Female,25,26,One Year,24,0
3,Female,32,31,Month-to-Month,87,1
4,Female,34,64,Month-to-Month,68,1
5,Male,23,46,Two Year,81,1
6,Male,39,68,Two Year,112,0
7,Male,40,19,Two Year,79,1
8,Female,55,52,Month-to-Month,48,1
9,Female,63,19,Month-to-Month,44,0
10,Female,66,71,Two Year,82,1
11,Male,23,65,One Year,47,0
12,Female,37,9,Month-to-Month,50,0
13,Female,50,39,Month-to-Month,68,0
14,Male,43,3,One Year,80,0
15,Male,65,51,Month-to-Month,52,1
16,Male,55,61,One Year,42,0
17,Male,36,68,Two Year,32,0
18,Female,21,3,Month-to-Month,96,0
19,Male,25,51,Two Year,70,1
20,Male,45,72,Month-to-Month,147,1
21,Female,52,10,Two Year,97,0
22,Male,45,72,Month-to-Month,78,1
23,Male,60,49,Month-to-Month,62,0
24,Male,37,20,One Year,141,0
25,Male,68,1,Two Year,38,0
26,Female,68,57,Two Year,81,1
27,Male,43,46,One Year,97,1
28,Female,65,36,Month-to-Month,74,0
29,Female,49,68,Month-to-Month,80,1
30,Male,68,54,Two Year,33,0
31,Female,47,58,Two Year,33,1
32,Male,39,68,Month-to-Month,46,0
33,Male,68,50,Two Year,32,0
34,Female,49,9,Two Year,28,0
35,Female,37,65,Month-to-Month,59,1
36,Female,31,25,Two Year,43,0
37,Male,29,48,One Year,45,1
38,Male,18,31,Two Year,135,0
39,Female,60,26,One Year,57,0
40,Male,60,69,Month-to-Month,105,0
41,Male,40,20,One Year,113,1
42,Male,45,64,One Year,38,1
43,Male,39,69,One Year,78,0
44,Female,66,30,Month-to-Month,100,0
45,Male,27,9,Month-to-Month,117,0
46,Female,53,47,Month-to-Month,70,1
47,Male,42,60,Month-to-Month,133,0
48,Female,49,10,One Year,58,0
49,Female,40,69,Month-to-Month,122,0
50,Male,36,24,Month-to-Month,79,0
51,Female,63,20,Month-to-Month,144,0
52,Female,34,13,One Year,51,0
53,Female,66,63,Two Year,44,0
54,Female,69,23,Two Year,70,0
55,Female,67,44,Month-to-Month,45,1
56,Female,59,59,Month-to-Month,69,0
57,Male,67,17,Month-to-Month,136,0
58,Male,41,37,Month-to-Month,87,0
59,Male,23,40,Two Year,79,1
60,Male,36,46,One Year,144,1
61,Male,68,14,One Year,39,0
62,Male,36,72,One Year,149,0
63,Female,62,17,Month-to-Month,76,1
64,Male,68,55,Two Year,30,1
65,Male,29,21,One Year,141,0
66,Female,49,64,Month-to-Month,86,0
67,Male,42,59,One Year,122,0
68,Female,49,43,Month-to-Month,116,0
69,Male,21,22,Month-to-Month,109,0
70,Female,56,6,Month-to-Month,140,0
71,Female,19,38,Two Year,114,1
72,Male,40,42,Month-to-Month,112,0
